Election,County,Subpart,JurisdictionID,JurisContainerID,JurisName,EISCandidateID,CandidateName,EISContestID,ContestName,PrecinctName,Registration,EISPartyID,PartyName,VoteCount
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 16,807,0,,248
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 17,947,0,,295
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 18,1274,0,,368
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 19,857,0,,304
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 20,830,0,,305
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 21,832,0,,390
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 22,981,0,,321
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 23,847,0,,244
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 24,783,0,,270
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 25,1239,0,,463
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 26,839,0,,418
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 27,974,0,,337
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 28,558,0,,217
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 29,1055,0,,286
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 30,734,0,,276
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 31,880,0,,325
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 32,863,0,,326
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 33,905,0,,282
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 34,967,0,,359
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 35,759,0,,107
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 36,623,0,,150
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 37,726,0,,225
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 38,625,0,,320
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 39,1117,0,,376
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 40,871,0,,323
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 03 Precinct 41,792,0,,301
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 01,915,0,,429
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 02,915,0,,345
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 03,758,0,,271
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 04,1014,0,,416
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 05,701,0,,331
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 06,845,0,,423
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 07,918,0,,456
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 08,804,0,,376
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 09,780,0,,449
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 10,891,0,,395
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 11,856,0,,287
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 12,884,0,,329
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 13,768,0,,223
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 14,804,0,,345
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 15,876,0,,393
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 16,1091,0,,376
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 17,832,0,,371
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 18,782,0,,345
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 19,856,0,,218
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 20,722,0,,330
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 21,801,0,,304
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 22,757,0,,340
2018 Primary,Cook,Chicago Only,105,0,CITY OF CHICAGO,0,,0,,Ward 04 Precinct 23,860,0,,455
